
number of buckets = 500
attack type = stepped
dense type = low
input,output
10,90.70503751803227
20,95.12627890521806
30,96.68835722938044
40,97.50425605493442
50,98.00243392633745
60,98.32992478648302
70,98.56654894071843
80,98.75504395808193
90,98.89474277141152
100,100.0
