
number of buckets = 100
attack type = stepped
dense type = low
input,output
10,89.64375288599608
20,94.57890431326328
30,96.37381283746322
40,97.27650066563703
50,97.82856629475172
60,98.22153648496813
70,98.49041284107204
80,98.6848519559426
90,98.8665360533078
100,100.0
