
number of buckets = 10
attack type = stepped
dense type = low
input,output
10,49.00333333333333
20,68.06700000000022
30,75.67540634920638
40,79.53218492063554
50,82.0235753968261
60,82.71966832010666
70,86.54091798941886
80,93.9280324074075
90,96.22214715608465
100,100.0
