
number of buckets = 50
attack type = stepped
dense type = low
input,output
10,88.02252849927726
20,93.67989126744142
30,95.79617207611797
40,96.99399378150744
50,97.6546297098997
60,98.02936890467022
70,98.38539188556537
80,98.64071809103254
90,98.81533810798247
100,100.0
